,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
conv0_row0,12990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv1_row0,25337.0,7726.0,5552.0,4784.0,5136.0,5210.0,5376.0,6008.0,8363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv1_row1,25867.0,7659.0,5494.0,5088.0,4980.0,5346.0,5512.0,6395.0,8788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row0,26381.0,4724.0,3172.0,2684.0,2573.0,2288.0,2333.0,2453.0,2514.0,2499.0,2611.0,2613.0,2785.0,2847.0,2974.0,3315.0,3979.0,5874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row1,25260.0,4588.0,3120.0,2672.0,2320.0,2214.0,2293.0,2323.0,2343.0,2454.0,2517.0,2559.0,2681.0,2547.0,2815.0,3069.0,3780.0,5750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row2,25259.0,4516.0,3100.0,2596.0,2464.0,2262.0,2286.0,2290.0,2466.0,2450.0,2379.0,2607.0,2589.0,2660.0,2814.0,3092.0,3636.0,5575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2_row3,25926.0,4633.0,3190.0,2620.0,2450.0,2333.0,2343.0,2336.0,2492.0,2577.0,2517.0,2643.0,2743.0,2733.0,2885.0,3177.0,3911.0,5909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row0,23540.0,3252.0,2078.0,1634.0,1404.0,1222.0,1173.0,1106.0,1016.0,975.0,947.0,1043.0,987.0,1041.0,972.0,1001.0,1023.0,1055.0,1036.0,1066.0,1066.0,1065.0,1109.0,1103.0,1096.0,1132.0,1144.0,1171.0,1147.0,1289.0,1272.0,1409.0,1638.0,1982.0,2552.0,4224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row1,23801.0,3278.0,2087.0,1631.0,1444.0,1240.0,1125.0,1168.0,1012.0,1041.0,971.0,1026.0,1017.0,1025.0,1025.0,1042.0,1058.0,1034.0,1060.0,1089.0,1113.0,1120.0,1105.0,1085.0,1091.0,1079.0,1143.0,1164.0,1205.0,1234.0,1357.0,1456.0,1581.0,1952.0,2547.0,4013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row2,23600.0,3273.0,2022.0,1654.0,1350.0,1261.0,1185.0,1063.0,1056.0,995.0,1026.0,985.0,1002.0,956.0,980.0,1035.0,1048.0,1027.0,1051.0,1080.0,1051.0,1073.0,1110.0,1046.0,1117.0,1037.0,1124.0,1162.0,1226.0,1229.0,1286.0,1401.0,1621.0,1945.0,2460.0,4072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row3,24749.0,3369.0,2220.0,1674.0001220703125,1480.0,1306.0,1197.0,1158.0,1074.0,1032.0,1045.0,1096.0,1020.0,1059.0,1023.0,1055.0,1134.0,1083.0,1154.0,1125.0,1132.0,1125.0,1161.0,1110.0,1203.0,1191.0,1139.0,1220.0,1251.0,1291.0,1441.0,1470.0,1722.0,1964.0,2641.0,4342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row4,24141.0,3253.0,2145.0,1681.0001220703125,1377.0,1265.0,1243.0,1117.0,1064.0,1051.0,1031.0,1039.0,1006.0,1041.0,996.0,1099.0,1110.0,1061.0,1106.0,1084.0,1128.0,1162.0,1121.0,1123.0,1082.0,1158.0,1165.0,1159.0,1255.0,1279.0,1287.0,1490.0,1685.0,1921.0,2575.0,4075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row5,23577.0,3239.0,2111.0,1587.0,1385.0,1253.0,1181.0,1033.0,1114.0,1022.0,1058.0,1058.0,991.0,938.0,989.0,1022.0,1028.0,1061.0,1038.0,1102.0,1116.0,1090.0,1071.0,1112.0,1058.0,1128.0,1147.0,1152.0,1135.0,1247.0,1321.0,1438.0,1619.0,1926.0,2528.0,4101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row6,24341.0,3316.0,2208.0,1655.0,1399.0,1313.0,1169.0,1124.0,1097.0,1066.0,1014.0,1038.0,1051.0,1056.0,1036.0,1027.0,1076.0,1100.0,1089.0,1118.0,1144.0,1103.0,1160.0,1145.0,1182.0,1127.0,1157.0,1154.0,1253.0,1275.0,1415.0,1486.0,1702.0,2011.0,2574.0,4047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv3_row7,23885.0,3326.0,2086.0,1650.0,1447.0,1232.0,1168.0,1095.0,1045.0,1013.0,1031.0,989.0,1017.0,1053.0,960.0,1034.0,1047.0,1059.0,1067.0,1066.0,1144.0,1070.0,1061.0,1143.0,1121.0,1082.0,1110.0,1131.0,1197.0,1316.0,1347.0,1439.0,1657.0,1960.0,2529.0,4266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv4_row0,27745.0,4065.0,2334.0,1734.000244140625,1369.000244140625,1140.000244140625,1066.0,914.0,802.0,698.0,670.0,642.0,612.0,530.0,574.0,534.0,501.00006103515625,473.00006103515625,460.00006103515625,431.00006103515625,449.00006103515625,417.00006103515625,409.00006103515625,410.0,380.0,370.0,419.0,404.0,417.0,394.0,346.0,409.0,383.0,390.0,376.0,366.0,363.0,440.0,373.0,429.0,395.0,444.0,447.0,448.0,462.0,422.0,464.0,404.0,463.0,411.0,433.0,478.0,504.0,502.0,549.0,579.0,568.0,552.0,655.0,677.0000610351562,690.0,729.0,799.0,868.0,932.0,1078.0,1227.0,1359.0,1655.0,2080.0,2818.0,5226.0
conv4_row1,26916.0,3910.0,2263.0,1592.000244140625,1333.000244140625,1078.0,980.0,880.0,762.0,745.0,621.0,626.0,572.0,570.0,516.0,480.0,489.0000305175781,497.0000305175781,485.00006103515625,437.00006103515625,399.00006103515625,408.00006103515625,413.00006103515625,371.0,441.0,395.0,394.0,406.0,368.0,403.0,398.0,380.0,363.0,375.0,349.0,364.0,375.0,432.0,410.0,418.0,429.0,438.0,453.0,417.0,408.0,475.0,441.0,481.0,376.0,423.0,423.0,475.0,488.0,489.0,529.0,565.0,582.0,588.0,601.0,693.0,687.0,716.0,717.0,874.0,892.0,948.0,1088.0,1369.0,1633.0,2018.0,2857.0,4944.0
conv4_row2,27432.0,4046.0,2253.0,1747.000244140625,1357.000244140625,1161.0001220703125,991.0,892.0,812.0,718.0,661.0,601.0,574.0,614.0,511.0,550.0,482.0,478.00006103515625,433.00006103515625,468.00006103515625,409.00006103515625,405.0000305175781,421.0,360.0,394.0,398.0,402.0,367.0,427.0,378.0,387.0,389.0,387.0,389.0,365.0,418.0,363.0,376.0,401.0,390.0,414.0,417.0,424.0,422.0,415.0,446.0,474.0,448.0,437.0,449.0,460.0,435.0,464.0,511.0,516.0,572.0,543.0,584.0,604.0,634.0,719.0,731.0,789.0,885.0,907.0,999.0,1181.0,1389.0,1628.0,1996.0,2886.0,5003.0
conv4_row3,27790.0,4021.0,2280.0,1727.0001220703125,1368.000244140625,1264.0001220703125,982.0,872.0,799.0,762.0,687.9999389648438,633.0,625.0,543.0,550.0,477.0,484.00006103515625,521.0001220703125,503.00006103515625,436.00006103515625,433.00006103515625,406.00006103515625,412.0000305175781,401.0,390.0,368.0,415.0,413.0,410.0,407.0,391.0,376.0,381.0,376.0,371.0,382.0,398.0,434.0,411.0,415.0,397.0,423.0,432.0,448.0,439.0,504.0,443.0,443.0,459.0,457.0,407.0,517.0,475.0,510.0,539.0,590.0,566.0,631.0,647.0,639.0000610351562,685.0,739.0,774.0,850.0,967.0,1012.0,1222.0,1393.0,1659.0,2088.0,2876.0,5158.0
conv4_row4,28266.0,4103.0,2401.0,1692.000244140625,1390.000244140625,1203.0001220703125,1014.0,868.0,850.0,773.0,693.0,663.0,554.0,592.0,531.0,534.0,504.0,463.00006103515625,490.00006103515625,473.00006103515625,461.00006103515625,424.00006103515625,411.00006103515625,396.0,395.0,399.0,432.0,387.0,400.0,391.0,403.0,382.0,400.0,370.0,394.0,402.0,392.0,416.0,377.0,422.0,418.0,438.0,444.0,446.0,434.0,457.0,478.0,471.0,449.0,447.0,438.0,489.0,516.0,521.0,505.0,572.0,613.0,594.0,620.0000610351562,699.0000610351562,716.0,734.0,812.0,845.0,1015.0,1024.0,1232.0,1380.0,1701.0,2123.0,2993.0,5095.0
conv4_row5,27277.0,3870.0,2256.0,1712.000244140625,1359.000244140625,1099.000244140625,996.0000610351562,887.0,828.0,759.0,677.0,643.0,609.0,525.0,546.0,525.0,485.0,444.00006103515625,442.00006103515625,439.00006103515625,469.00006103515625,428.00006103515625,432.0000305175781,360.0,392.0,400.0,424.0,382.0,388.0,384.0,392.0,344.0,389.0,368.0,368.0,400.0,399.0,382.0,420.0,412.0,419.0,398.0,443.0,462.0,398.0,431.0,473.0,451.0,453.0,461.0,454.0,464.0,516.0,494.0,521.0,531.0,577.0,584.0,679.0001220703125,634.0,724.0,716.0,765.0,820.0,944.0,1004.0,1200.0,1340.0,1608.0,1995.0001220703125,2950.0,4911.0
conv4_row6,27152.0,3936.0,2243.0,1700.000244140625,1371.000244140625,1131.000244140625,1006.0,823.0,754.0,730.0,668.0,643.0,558.0,555.0,539.0,472.0,537.0,493.0,444.00006103515625,455.00006103515625,424.00006103515625,420.00006103515625,393.00006103515625,371.0,398.0,406.0,362.0,429.0,384.0,349.0,380.0,412.0,396.0,332.0,347.0,404.0,366.0,403.0,390.0,399.0,407.0,428.0,450.0,433.0,442.0,477.0,479.0,446.0,429.0,431.0,421.0,445.0,472.0,492.0,497.0,581.0,564.0,592.0,617.0000610351562,660.0001220703125,694.0,671.0,790.0,896.0,899.0,971.0,1171.0,1302.0,1557.0,2009.0,2938.0,4977.0
conv4_row7,25638.0,3718.0,2159.0,1616.000244140625,1269.000244140625,1172.0001220703125,920.0,847.0,760.0,684.0,634.0,575.0,553.0,530.0,487.0,489.0,452.0,449.0,439.0000305175781,407.00006103515625,448.00006103515625,380.0000305175781,427.0000305175781,373.0,389.0,396.0,378.0,344.0,365.0,368.0,368.0,364.0,356.0,340.0,350.0,371.0,347.0,335.0,391.0,401.0,413.0,427.0,442.0,422.0,434.0,424.0,404.0,439.0,407.0,372.0,451.0,403.0,435.0,472.0,474.0,491.0,537.0,596.0,610.0,616.0,654.0,715.0,772.0,756.0,885.0,940.0,1124.0,1285.0,1578.0001220703125,1857.0,2629.0,4673.0
fc0_row0,6851.0,1734.0001220703125,2036.0,2366.0,2396.0,2240.0,1589.0,1102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sum by layers,12990.0,148621.0,306383.0,584076.0,664780.0,20314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_latency,7.5,1047.5,946.0,662.0,90.0,1347.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy_cost,321541.0,2531485.0,5058679.0,9480993.0,10783790.0,357467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_wt,15.0,35.0,32.0,37.0,36.000003814697266,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
