,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
conv4_row2,5155.0,854.0,237.0,207.0,213.0,235.0,253.0,313.0,345.0,342.0,337.0,303.0,288.0,245.0,206.0,180.0,133.0,134.0,89.0,77.0,55.0,39.0,22.0,11.0,16.0,11.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,11.0,26.0,45.0,54.0,69.0,105.0,178.0,232.0,303.0,373.0,447.0,498.0,465.0,410.0,350.0,258.0,240.0,411.0,1286.0
conv4_row3,5060.0,842.0,291.0,200.0,179.0,250.0,271.0,299.0,321.0,305.0,289.0,301.0,262.0,251.0,216.0,179.0,155.0,112.0,94.0,74.0,52.0,40.0,26.0,14.0,8.0,11.0,6.0,7.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,4.0,4.0,13.0,24.0,48.0,84.0,100.0,152.0,232.0,273.0,337.0,415.0,472.0,479.0,412.0,371.0,283.0,221.0,397.0,1263.0
conv4_row4,5094.0,822.0,202.0,126.0,150.0,250.0,296.0,327.0,359.0,338.0,394.0,358.0,288.0,247.0,205.0,170.0,145.0,110.0,73.0,64.0,40.0,37.0,25.0,17.0,14.0,14.0,7.0,7.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,9.0,19.0,29.0,52.0,63.0,77.0,171.0,217.0,280.0,396.0,426.0,471.0,471.0,472.0,374.0,277.0,237.0,396.0,1307.0
conv4_row5,5174.0,946.0,255.0,134.0,162.0,209.0,246.0,308.0,324.0,342.0,331.0,311.0,260.0,266.0,214.0,181.0,170.0,116.0,115.0,88.0,51.0,43.0,38.0,18.0,17.0,9.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,6.0,10.0,29.0,29.0,48.0,79.0,120.0,174.0,238.0,316.0,393.0,416.0,466.0,479.0,407.0,349.0,260.0,218.0,373.0,1401.0
conv4_row6,5298.0,954.0,258.0,153.0,174.0,211.0,257.0,290.0,323.0,321.0,335.0,279.0,273.0,252.0,228.0,169.0,171.0,139.0,125.0,98.0,71.0,54.0,51.0,33.0,21.0,18.0,15.0,7.0,7.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,7.0,6.0,15.0,17.0,30.0,67.0,95.0,126.0,170.0,241.0,300.0,417.0,433.0,433.0,479.0,460.0,343.0,255.0,224.0,440.0,1427.0
conv4_row7,4957.0,796.0,280.0,175.0,201.0,270.0,323.0,326.0,372.0,332.0,337.0,333.0,251.0,231.0,192.0,136.0,96.0,93.0,63.0,40.0,31.0,30.0,21.0,11.0,5.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,5.0,8.0,14.0,21.0,39.0,62.0,95.0,165.0,217.0,277.0,380.0,409.0,456.0,449.0,428.0,413.0,309.0,238.0,355.0,1134.0
fc0_row0,2503.0,115.00000762939453,83.00000762939453,64.00001525878906,67.0,64.00000762939453,100.00001525878906,152.00001525878906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sum by layers,13156.0,26655.0,76083.0,140375.0,128339.0,3148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_latency,7.5,287.5,443.5,26.0,22.0,8.500001907348633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy_cost,320152.0,504182.0,1247856.0,2246005.0,2057711.0,64769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_wt,15.0,23.0,19.0,30.0,17.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
